name,category,visitors,point_latitude,point_longitude
Parque Calderón,plaza,1240,-2.8973,-79.0045
Catedral Nueva,landmark,980,-2.8977,-79.0051
Museo Pumapungo,museum,620,-2.9053,-78.9967
Mercado 10 de Agosto,market,1510,-2.8998,-79.0028
Puente Roto,landmark,430,-2.9016,-79.0006
Universidad de Cuenca,campus,2100,-2.9034,-79.0122
Terminal Terrestre,transport,1870,-2.8887,-78.9895
Aeropuerto Mariscal Lamar,transport,760,-2.8894,-78.9843
Turi Mirador,viewpoint,540,-2.9268,-79.0087
Parque de la Madre,park,1130,-2.9021,-79.0069
Mall del Río,retail,2450,-2.9142,-79.0011
Iglesia de San Sebastián,landmark,310,-2.8969,-79.0104
